Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.0000e-01,9.7989e-28,4.8982e-28,5.4204e-12,5.4204e-12,1.0000e-01,0.0000e+00
2.0000e-01,4.8911e-26,2.4450e-26,4.9224e-11,4.9224e-11,2.0000e-01,0.0000e+00
3.0000e-01,2.3399e-24,1.1697e-24,4.1225e-10,4.1225e-10,3.0000e-01,0.0000e+00
4.0000e-01,1.1185e-22,5.5909e-23,3.5218e-09,3.5218e-09,4.0000e-01,0.0000e+00
5.0000e-01,5.3460e-21,2.6723e-21,3.0906e-08,3.0906e-08,5.0000e-01,0.0000e+00
6.0000e-01,2.5553e-19,1.2773e-19,2.7730e-07,2.7730e-07,6.0000e-01,0.0000e+00
7.0000e-01,1.2215e-17,6.1058e-18,2.5202e-06,2.5202e-06,7.0000e-01,0.0000e+00
8.0000e-01,5.8392e-16,2.9188e-16,2.2896e-05,2.2896e-05,8.0000e-01,0.0000e+00
9.0000e-01,2.7921e-14,1.3957e-14,2.0412e-04,2.0412e-04,9.0000e-01,0.0000e+00
1.0000e+00,1.3361e-12,6.6786e-13,1.7478e-03,1.7478e-03,1.0000e+00,0.0000e+00
1.1000e+00,6.4040e-11,3.2012e-11,1.4674e-02,1.4674e-02,1.1000e+00,0.0000e+00
1.2000e+00,3.0791e-09,1.5392e-09,1.4303e-01,1.4303e-01,1.2000e+00,0.0000e+00
1.3000e+00,1.4842e-07,7.4190e-08,2.0335e+00,2.0335e+00,1.3000e+00,0.0000e+00
1.4000e+00,6.4116e-06,3.2050e-06,2.9509e+01,2.9509e+01,1.4000e+00,0.0000e+00
1.5000e+00,1.1403e-04,5.7002e-05,1.7692e+02,1.7692e+02,1.5000e+00,0.0000e+00
1.6000e+00,7.6849e-04,3.8415e-04,4.5698e+02,4.5698e+02,1.6000e+00,0.0000e+00
1.7000e+00,3.8678e-03,1.9334e-03,8.1288e+02,8.1287e+02,1.7000e+00,0.0000e+00
1.8000e+00,5.9428e-03,2.9707e-03,1.2134e+03,1.2134e+03,1.8000e+00,0.0000e+00
1.9000e+00,6.1439e-02,3.0712e-02,1.4884e+03,1.4884e+03,1.9000e+00,0.0000e+00
2.0000e+00,1.1708e-01,5.8524e-02,1.7638e+03,1.7638e+03,2.0000e+00,0.0000e+00
2.1000e+00,1.7287e-01,8.6413e-02,2.0398e+03,2.0398e+03,2.1000e+00,0.0000e+00
2.2000e+00,2.2883e-01,1.1439e-01,2.3164e+03,2.3164e+03,2.2000e+00,0.0000e+00
2.3000e+00,2.8499e-01,1.4246e-01,2.5937e+03,2.5937e+03,2.3000e+00,0.0000e+00
2.4000e+00,3.4134e-01,1.7063e-01,2.8719e+03,2.8719e+03,2.4000e+00,0.0000e+00
2.5000e+00,3.9792e-01,1.9891e-01,3.1510e+03,3.1510e+03,2.5000e+00,0.0000e+00
2.6000e+00,4.5474e-01,2.2731e-01,3.4311e+03,3.4311e+03,2.6000e+00,0.0000e+00
2.7000e+00,5.1182e-01,2.5585e-01,3.7123e+03,3.7123e+03,2.7000e+00,0.0000e+00
2.8000e+00,5.6918e-01,2.8452e-01,3.9948e+03,3.9948e+03,2.8000e+00,0.0000e+00
2.9000e+00,6.2683e-01,3.1334e-01,4.2785e+03,4.2786e+03,2.9000e+00,0.0000e+00
3.0000e+00,6.8480e-01,3.4231e-01,4.5637e+03,4.5638e+03,3.0000e+00,0.0000e+00
