wl,n,k
0.26049,3.50E+00,3.71E+00
0.26159,3.57E+00,3.65E+00
0.2627,3.63E+00,3.59E+00
0.26381,3.68E+00,3.52E+00
0.26494,3.74E+00,3.46E+00
0.26608,3.78E+00,3.40E+00
0.26723,3.83E+00,3.34E+00
0.26838,3.87E+00,3.28E+00
0.26955,3.91E+00,3.22E+00
0.27073,3.94E+00,3.16E+00
0.27191,3.97E+00,3.10E+00
0.27311,4.00E+00,3.03E+00
0.27432,4.02E+00,2.96E+00
0.27554,4.03E+00,2.88E+00
0.27677,4.03E+00,2.81E+00
0.27801,4.03E+00,2.73E+00
0.27926,4.03E+00,2.66E+00
0.28053,4.01E+00,2.58E+00
0.2818,4.00E+00,2.52E+00
0.28309,3.98E+00,2.45E+00
0.28439,3.96E+00,2.39E+00
0.2857,3.94E+00,2.34E+00
0.28702,3.91E+00,2.29E+00
0.28835,3.89E+00,2.24E+00
0.2897,3.87E+00,2.20E+00
0.29106,3.84E+00,2.16E+00
0.29244,3.82E+00,2.13E+00
0.29382,3.80E+00,2.10E+00
0.29522,3.77E+00,2.07E+00
0.29663,3.75E+00,2.05E+00
0.29806,3.73E+00,2.03E+00
0.2995,3.71E+00,2.01E+00
0.30095,3.70E+00,2.00E+00
0.30242,3.68E+00,1.98E+00
0.3039,3.66E+00,1.97E+00
0.3054,3.65E+00,1.96E+00
0.30691,3.63E+00,1.95E+00
0.30844,3.62E+00,1.94E+00
0.30998,3.61E+00,1.93E+00
0.31154,3.60E+00,1.93E+00
0.31311,3.59E+00,1.93E+00
0.3147,3.58E+00,1.92E+00
0.31631,3.57E+00,1.92E+00
0.31793,3.57E+00,1.92E+00
0.31957,3.56E+00,1.92E+00
0.32122,3.56E+00,1.92E+00
0.3229,3.55E+00,1.92E+00
0.32459,3.55E+00,1.92E+00
0.3263,3.55E+00,1.92E+00
0.32802,3.55E+00,1.92E+00
0.32977,3.55E+00,1.93E+00
0.33153,3.55E+00,1.93E+00
0.33331,3.55E+00,1.94E+00
0.33512,3.55E+00,1.94E+00
0.33694,3.55E+00,1.95E+00
0.33878,3.55E+00,1.96E+00
0.34064,3.56E+00,1.97E+00
0.34252,3.56E+00,1.97E+00
0.34442,3.57E+00,1.98E+00
0.34635,3.57E+00,1.99E+00
0.34829,3.58E+00,2.00E+00
0.35026,3.59E+00,2.01E+00
0.35225,3.61E+00,2.03E+00
0.35426,3.62E+00,2.04E+00
0.3563,3.63E+00,2.05E+00
0.35836,3.65E+00,2.07E+00
0.36044,3.67E+00,2.08E+00
0.36255,3.69E+00,2.10E+00
0.36468,3.72E+00,2.11E+00
0.36684,3.75E+00,2.13E+00
0.36903,3.79E+00,2.15E+00
0.37124,3.85E+00,2.17E+00
0.37347,3.90E+00,2.20E+00
0.37574,3.96E+00,2.22E+00
0.37803,4.04E+00,2.24E+00
0.38035,4.12E+00,2.25E+00
0.38269,4.20E+00,2.25E+00
0.38507,4.27E+00,2.22E+00
0.38748,4.33E+00,2.17E+00
0.38991,4.38E+00,2.11E+00
0.39238,4.41E+00,2.05E+00
0.39488,4.45E+00,2.01E+00
0.39741,4.48E+00,1.97E+00
0.39998,4.52E+00,1.94E+00
0.40257,4.58E+00,1.93E+00
0.4052,4.65E+00,1.92E+00
0.40787,4.74E+00,1.92E+00
0.41057,4.83E+00,1.88E+00
0.41331,4.91E+00,1.79E+00
0.41608,4.96E+00,1.64E+00
0.41889,4.97E+00,1.48E+00
0.42174,4.95E+00,1.33E+00
0.42463,4.90E+00,1.20E+00
0.42756,4.84E+00,1.08E+00
0.43053,4.80E+00,9.89E-01
0.43354,4.75E+00,9.11E-01
0.43659,4.70E+00,8.47E-01
0.43969,4.66E+00,7.91E-01
0.44283,4.62E+00,7.42E-01
0.44602,4.58E+00,6.97E-01
0.44925,4.54E+00,6.59E-01
0.45253,4.50E+00,6.24E-01
0.45586,4.46E+00,5.92E-01
0.45923,4.43E+00,5.64E-01
0.46266,4.40E+00,5.38E-01
0.46614,4.37E+00,5.16E-01
0.46967,4.34E+00,4.94E-01
0.47325,4.31E+00,4.73E-01
0.47689,4.28E+00,4.54E-01
0.48059,4.25E+00,4.36E-01
0.48435,4.23E+00,4.20E-01
0.48816,4.20E+00,4.05E-01
0.49203,4.18E+00,3.91E-01
0.49597,4.16E+00,3.78E-01
0.49997,4.14E+00,3.66E-01
0.50403,4.12E+00,3.53E-01
0.50817,4.09E+00,3.41E-01
0.51237,4.08E+00,3.30E-01
0.51664,4.06E+00,3.17E-01
0.52098,4.04E+00,3.07E-01
0.52539,4.02E+00,2.96E-01
0.52988,4.00E+00,2.88E-01
0.53445,3.99E+00,2.81E-01
0.5391,3.97E+00,2.73E-01
0.54383,3.96E+00,2.65E-01
0.54864,3.94E+00,2.56E-01
0.55354,3.93E+00,2.48E-01
0.55853,3.91E+00,2.42E-01
0.5636,3.90E+00,2.35E-01
0.56877,3.89E+00,2.25E-01
0.57404,3.88E+00,2.16E-01
0.5794,3.86E+00,2.10E-01
0.58487,3.85E+00,2.05E-01
0.59044,3.84E+00,1.99E-01
0.59612,3.83E+00,1.94E-01
0.60191,3.82E+00,1.88E-01
0.60781,3.81E+00,1.82E-01
0.61382,3.79E+00,1.76E-01
0.61996,3.78E+00,1.71E-01
0.62623,3.77E+00,1.64E-01
0.63262,3.76E+00,1.57E-01
0.63914,3.75E+00,1.50E-01
0.64579,3.74E+00,1.41E-01
0.65259,3.74E+00,1.31E-01
0.65954,3.73E+00,1.23E-01
