Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
0.0000e+00,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.0038e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.0077e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.0115e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
4.0154e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
5.0192e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
6.0231e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
7.0269e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
8.0308e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
9.0346e-03,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.0038e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.1042e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.2046e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.3050e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.4054e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.5058e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.6062e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.7065e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.8069e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
1.9073e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.0077e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.1081e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.2085e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.3088e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.4092e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.5096e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.6100e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.7104e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.8108e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
2.9112e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.0115e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.1119e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.2123e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.3127e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.4131e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.5135e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.6138e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.7142e-02,-5.7074e+00,-7.2284e+00,-7.2524e+00,-7.2284e+00
3.8146e-02,-5.7074e+00,-7.2284e+00,-7.2523e+00,-7.2284e+00
3.9150e-02,-5.7074e+00,-7.2284e+00,-7.2523e+00,-7.2284e+00
4.0154e-02,-5.7074e+00,-7.2284e+00,-7.2523e+00,-7.2284e+00
4.1158e-02,-5.7073e+00,-7.2284e+00,-7.2523e+00,-7.2284e+00
4.2162e-02,-5.7073e+00,-7.2284e+00,-7.2522e+00,-7.2284e+00
4.3165e-02,-5.7072e+00,-7.2284e+00,-7.2522e+00,-7.2284e+00
4.4169e-02,-5.7071e+00,-7.2284e+00,-7.2520e+00,-7.2284e+00
4.5173e-02,-5.7068e+00,-7.2284e+00,-7.2518e+00,-7.2284e+00
4.6177e-02,-5.7064e+00,-7.2284e+00,-7.2514e+00,-7.2284e+00
4.7181e-02,-5.7058e+00,-7.2284e+00,-7.2507e+00,-7.2284e+00
4.8185e-02,-5.7046e+00,-7.2284e+00,-7.2496e+00,-7.2284e+00
4.9188e-02,-5.7027e+00,-7.2284e+00,-7.2477e+00,-7.2284e+00
5.0192e-02,-5.6994e+00,-7.2284e+00,-7.2444e+00,-7.2284e+00
5.1196e-02,-5.6935e+00,-7.2284e+00,-7.2385e+00,-7.2284e+00
5.2200e-02,-5.6826e+00,-7.2284e+00,-7.2275e+00,-7.2284e+00
5.3200e-02,-5.6081e+00,-7.2284e+00,-7.2397e+00,-7.2284e+00
5.4200e-02,-5.5285e+00,-7.2284e+00,-7.2467e+00,-7.2283e+00
5.5200e-02,-5.4462e+00,-7.2284e+00,-7.2510e+00,-7.2283e+00
5.6200e-02,-5.3624e+00,-7.2284e+00,-7.2539e+00,-7.2283e+00
5.7200e-02,-5.2779e+00,-7.2284e+00,-7.2559e+00,-7.2283e+00
5.8200e-02,-5.2556e+00,-7.2472e+00,-7.2576e+00,-7.2283e+00
5.9200e-02,-5.2377e+00,-7.2472e+00,-7.2592e+00,-7.2282e+00
6.0200e-02,-5.2186e+00,-7.2472e+00,-7.2611e+00,-7.2282e+00
6.1200e-02,-5.1988e+00,-7.2472e+00,-7.2636e+00,-7.2282e+00
6.2200e-02,-5.1788e+00,-7.2472e+00,-7.2673e+00,-7.2282e+00
6.3200e-02,-5.1594e+00,-7.2472e+00,-7.2731e+00,-7.2281e+00
6.4200e-02,-5.1419e+00,-7.2472e+00,-7.2820e+00,-7.2281e+00
6.5200e-02,-5.1277e+00,-7.2472e+00,-7.2957e+00,-7.2280e+00
6.6204e-02,-5.1133e+00,-7.2472e+00,-7.2813e+00,-7.2280e+00
6.7208e-02,-5.1042e+00,-7.2472e+00,-7.2722e+00,-7.2280e+00
6.8212e-02,-5.0986e+00,-7.2472e+00,-7.2666e+00,-7.2280e+00
6.9215e-02,-5.0953e+00,-7.2471e+00,-7.2633e+00,-7.2280e+00
7.0219e-02,-5.0935e+00,-7.2471e+00,-7.2615e+00,-7.2280e+00
7.1223e-02,-5.0924e+00,-7.2471e+00,-7.2604e+00,-7.2280e+00
7.2227e-02,-5.0918e+00,-7.2471e+00,-7.2598e+00,-7.2280e+00
7.3231e-02,-5.0915e+00,-7.2471e+00,-7.2595e+00,-7.2280e+00
7.4235e-02,-5.0913e+00,-7.2471e+00,-7.2593e+00,-7.2280e+00
7.5238e-02,-5.0912e+00,-7.2470e+00,-7.2592e+00,-7.2280e+00
7.6242e-02,-5.0911e+00,-7.2470e+00,-7.2591e+00,-7.2280e+00
7.7246e-02,-5.0911e+00,-7.2470e+00,-7.2591e+00,-7.2280e+00
7.8250e-02,-5.0911e+00,-7.2470e+00,-7.2591e+00,-7.2280e+00
7.9254e-02,-5.0911e+00,-7.2470e+00,-7.2591e+00,-7.2280e+00
8.0258e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.1262e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.2265e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.3269e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.4273e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.5277e-02,-5.0910e+00,-7.2469e+00,-7.2590e+00,-7.2280e+00
8.6281e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
8.7285e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
8.8288e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
8.9292e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
9.0296e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
9.1300e-02,-5.0910e+00,-7.2468e+00,-7.2590e+00,-7.2280e+00
9.2304e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.3308e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.4312e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.5315e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.6319e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.7323e-02,-5.0910e+00,-7.2467e+00,-7.2590e+00,-7.2280e+00
9.8327e-02,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
9.9331e-02,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
1.0033e-01,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
1.0134e-01,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
1.0234e-01,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
1.0335e-01,-5.0910e+00,-7.2466e+00,-7.2590e+00,-7.2280e+00
1.0435e-01,-5.0910e+00,-7.2465e+00,-7.2590e+00,-7.2280e+00
1.0535e-01,-5.0911e+00,-7.2465e+00,-7.2591e+00,-7.2280e+00
1.0636e-01,-5.0911e+00,-7.2465e+00,-7.2591e+00,-7.2280e+00
1.0736e-01,-5.0911e+00,-7.2465e+00,-7.2591e+00,-7.2280e+00
1.0837e-01,-5.0912e+00,-7.2465e+00,-7.2592e+00,-7.2280e+00
1.0937e-01,-5.0914e+00,-7.2465e+00,-7.2594e+00,-7.2280e+00
1.1037e-01,-5.0918e+00,-7.2465e+00,-7.2598e+00,-7.2280e+00
1.1138e-01,-5.0924e+00,-7.2464e+00,-7.2604e+00,-7.2280e+00
