Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Pot (V) at Lt Cont,Cont Pot (V) at Rt Cont
0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.0000e-02,2.1070e-29,8.4216e-30,3.9763e-13,3.9763e-13,1.0000e-02,0.0000e+00
2.0000e-02,5.2086e-29,2.0819e-29,8.3393e-13,8.3393e-13,2.0000e-02,0.0000e+00
3.0000e-02,9.7746e-29,3.9069e-29,1.3239e-12,1.3239e-12,3.0000e-02,0.0000e+00
4.0000e-02,1.6496e-28,6.5935e-29,1.8853e-12,1.8853e-12,4.0000e-02,0.0000e+00
5.0000e-02,2.6391e-28,1.0548e-28,2.5390e-12,2.5390e-12,5.0000e-02,0.0000e+00
6.0000e-02,4.0957e-28,1.6371e-28,3.3100e-12,3.3100e-12,6.0000e-02,0.0000e+00
7.0000e-02,6.2400e-28,2.4941e-28,4.2281e-12,4.2281e-12,7.0000e-02,0.0000e+00
8.0000e-02,9.3967e-28,3.7558e-28,5.3295e-12,5.3295e-12,8.0000e-02,0.0000e+00
9.0000e-02,1.4044e-27,5.6132e-28,6.6574e-12,6.6574e-12,9.0000e-02,0.0000e+00
1.0000e-01,2.0884e-27,8.3475e-28,8.2646e-12,8.2646e-12,1.0000e-01,0.0000e+00
1.1000e-01,3.0955e-27,1.2373e-27,1.0215e-11,1.0215e-11,1.1000e-01,0.0000e+00
1.2000e-01,4.5779e-27,1.8298e-27,1.2587e-11,1.2587e-11,1.2000e-01,0.0000e+00
1.3000e-01,6.7602e-27,2.7021e-27,1.5475e-11,1.5475e-11,1.3000e-01,0.0000e+00
1.4000e-01,9.9728e-27,3.9861e-27,1.8995e-11,1.8995e-11,1.4000e-01,0.0000e+00
1.5000e-01,1.4702e-26,5.8764e-27,2.3289e-11,2.3289e-11,1.5000e-01,0.0000e+00
1.6000e-01,2.1664e-26,8.6592e-27,2.8530e-11,2.8530e-11,1.6000e-01,0.0000e+00
1.7000e-01,3.1913e-26,1.2756e-26,3.4929e-11,3.4929e-11,1.7000e-01,0.0000e+00
1.8000e-01,4.7000e-26,1.8786e-26,4.2746e-11,4.2746e-11,1.8000e-01,0.0000e+00
1.9000e-01,6.9210e-26,2.7663e-26,5.2298e-11,5.2298e-11,1.9000e-01,0.0000e+00
2.0000e-01,1.0191e-25,4.0732e-26,6.3973e-11,6.3973e-11,2.0000e-01,0.0000e+00
2.1000e-01,1.5004e-25,5.9970e-26,7.8246e-11,7.8246e-11,2.1000e-01,0.0000e+00
2.2000e-01,2.2089e-25,8.8291e-26,9.5699e-11,9.5699e-11,2.2000e-01,0.0000e+00
2.3000e-01,3.2520e-25,1.2998e-25,1.1705e-10,1.1705e-10,2.3000e-01,0.0000e+00
2.4000e-01,4.7875e-25,1.9135e-25,1.4317e-10,1.4317e-10,2.4000e-01,0.0000e+00
2.5000e-01,7.0479e-25,2.8170e-25,1.7513e-10,1.7513e-10,2.5000e-01,0.0000e+00
2.6000e-01,1.0375e-24,4.1470e-25,2.1424e-10,2.1424e-10,2.6000e-01,0.0000e+00
2.7000e-01,1.5274e-24,6.1050e-25,2.6213e-10,2.6213e-10,2.7000e-01,0.0000e+00
2.8000e-01,2.2485e-24,8.9872e-25,3.2077e-10,3.2077e-10,2.8000e-01,0.0000e+00
2.9000e-01,3.3100e-24,1.3230e-24,3.9259e-10,3.9259e-10,2.9000e-01,0.0000e+00
3.0000e-01,4.8727e-24,1.9476e-24,4.8058e-10,4.8058e-10,3.0000e-01,0.0000e+00
3.1000e-01,7.1732e-24,2.8671e-24,5.8839e-10,5.8839e-10,3.1000e-01,0.0000e+00
3.2000e-01,1.0560e-23,4.2207e-24,7.2054e-10,7.2054e-10,3.2000e-01,0.0000e+00
3.3000e-01,1.5545e-23,6.2133e-24,8.8254e-10,8.8254e-10,3.3000e-01,0.0000e+00
3.4000e-01,2.2884e-23,9.1467e-24,1.0812e-09,1.0812e-09,3.4000e-01,0.0000e+00
3.5000e-01,3.3688e-23,1.3465e-23,1.3249e-09,1.3249e-09,3.5000e-01,0.0000e+00
