Grid Pos (microns),Ec (eV),Efn (eV),Ev (eV),Efp (eV)
0.0000e+00,-5.6174e+00,-7.1384e+00,-7.1624e+00,-7.1384e+00
1.0038e-03,-5.6174e+00,-6.2878e+00,-7.1624e+00,-7.1384e+00
2.0077e-03,-5.6174e+00,-6.2700e+00,-7.1624e+00,-7.1384e+00
3.0115e-03,-5.6174e+00,-6.2595e+00,-7.1624e+00,-7.1384e+00
4.0154e-03,-5.6174e+00,-6.2521e+00,-7.1624e+00,-7.1384e+00
5.0192e-03,-5.6174e+00,-6.2464e+00,-7.1624e+00,-7.1384e+00
6.0231e-03,-5.6174e+00,-6.2417e+00,-7.1624e+00,-7.1384e+00
7.0269e-03,-5.6174e+00,-6.2378e+00,-7.1624e+00,-7.1384e+00
8.0308e-03,-5.6174e+00,-6.2344e+00,-7.1624e+00,-7.1384e+00
9.0346e-03,-5.6174e+00,-6.2314e+00,-7.1624e+00,-7.1384e+00
1.0038e-02,-5.6174e+00,-6.2287e+00,-7.1624e+00,-7.1384e+00
1.1042e-02,-5.6174e+00,-6.2262e+00,-7.1624e+00,-7.1384e+00
1.2046e-02,-5.6174e+00,-6.2240e+00,-7.1624e+00,-7.1384e+00
1.3050e-02,-5.6174e+00,-6.2220e+00,-7.1624e+00,-7.1384e+00
1.4054e-02,-5.6174e+00,-6.2201e+00,-7.1624e+00,-7.1384e+00
1.5058e-02,-5.6174e+00,-6.2183e+00,-7.1624e+00,-7.1384e+00
1.6062e-02,-5.6174e+00,-6.2167e+00,-7.1624e+00,-7.1384e+00
1.7065e-02,-5.6174e+00,-6.2152e+00,-7.1624e+00,-7.1384e+00
1.8069e-02,-5.6174e+00,-6.2137e+00,-7.1624e+00,-7.1384e+00
1.9073e-02,-5.6174e+00,-6.2123e+00,-7.1624e+00,-7.1384e+00
2.0077e-02,-5.6174e+00,-6.2110e+00,-7.1624e+00,-7.1384e+00
2.1081e-02,-5.6174e+00,-6.2098e+00,-7.1624e+00,-7.1384e+00
2.2085e-02,-5.6174e+00,-6.2086e+00,-7.1624e+00,-7.1384e+00
2.3088e-02,-5.6174e+00,-6.2075e+00,-7.1624e+00,-7.1384e+00
2.4092e-02,-5.6174e+00,-6.2064e+00,-7.1624e+00,-7.1384e+00
2.5096e-02,-5.6174e+00,-6.2054e+00,-7.1624e+00,-7.1384e+00
2.6100e-02,-5.6174e+00,-6.2044e+00,-7.1624e+00,-7.1384e+00
