Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
1.0000e+00,6.7192e-11,3.3511e-11,6.3882e-03,6.3882e-03,-3.6749e-16,1.5532e+00
1.1000e+00,3.2032e-09,1.5976e-09,6.4697e-02,6.4698e-02,-3.6749e-16,1.5532e+00
1.2000e+00,1.5109e-07,7.5357e-08,7.4542e-01,7.4542e-01,-3.6749e-16,1.5532e+00
1.3000e+00,6.5613e-06,3.2724e-06,7.9996e+00,7.9996e+00,-3.6749e-16,1.5532e+00
1.4000e+00,1.7124e-04,8.5403e-05,8.3161e+01,8.3161e+01,-3.6749e-16,1.5532e+00
1.5000e+00,1.2650e-03,6.3093e-04,4.4894e+02,4.4894e+02,-3.6749e-16,1.5532e+00
1.6000e+00,3.7151e-03,1.8529e-03,1.1880e+03,1.1880e+03,-3.6749e-16,1.5532e+00
1.7000e+00,7.1705e-03,3.5763e-03,2.1839e+03,2.1839e+03,-3.6749e-16,1.5532e+00
1.8000e+00,1.1135e-02,5.5533e-03,3.2998e+03,3.2998e+03,-3.6749e-16,1.5532e+00
1.9000e+00,1.5236e-02,7.5990e-03,4.4394e+03,4.4394e+03,-3.6749e-16,1.5532e+00
2.0000e+00,1.9335e-02,9.6431e-03,5.5690e+03,5.5690e+03,-3.6749e-16,1.5532e+00
2.1000e+00,2.3475e-02,1.1708e-02,6.7038e+03,6.7039e+03,-3.6749e-16,1.5532e+00
2.2000e+00,2.7726e-02,1.3828e-02,7.8646e+03,7.8646e+03,-3.6749e-16,1.5532e+00
2.3000e+00,3.2115e-02,1.6017e-02,9.0593e+03,9.0594e+03,-3.6749e-16,1.5532e+00
2.4000e+00,3.6640e-02,1.8274e-02,1.0289e+04,1.0289e+04,-3.6749e-16,1.5532e+00
2.5000e+00,4.1293e-02,2.0595e-02,1.1550e+04,1.1550e+04,-3.6749e-16,1.5532e+00
2.6000e+00,4.6064e-02,2.2974e-02,1.2842e+04,1.2842e+04,-3.6749e-16,1.5532e+00
2.7000e+00,5.0943e-02,2.5407e-02,1.4161e+04,1.4161e+04,-3.6749e-16,1.5532e+00
2.8000e+00,5.5920e-02,2.7890e-02,1.5506e+04,1.5506e+04,-3.6749e-16,1.5532e+00
2.9000e+00,6.0989e-02,3.0418e-02,1.6874e+04,1.6874e+04,-3.6749e-16,1.5532e+00
3.0000e+00,6.6143e-02,3.2988e-02,1.8265e+04,1.8265e+04,-3.6749e-16,1.5532e+00
3.1000e+00,7.1376e-02,3.5598e-02,1.9676e+04,1.9676e+04,-3.6749e-16,1.5532e+00
3.2000e+00,7.6683e-02,3.8245e-02,2.1106e+04,2.1106e+04,-3.6749e-16,1.5532e+00
3.3000e+00,8.2059e-02,4.0926e-02,2.2555e+04,2.2555e+04,-3.6749e-16,1.5532e+00
3.4000e+00,8.7502e-02,4.3641e-02,2.4022e+04,2.4022e+04,-3.6749e-16,1.5532e+00
3.5000e+00,9.3006e-02,4.6386e-02,2.5505e+04,2.5504e+04,-3.6749e-16,1.5532e+00
3.6000e+00,9.8571e-02,4.9162e-02,2.7003e+04,2.7003e+04,-3.6749e-16,1.5532e+00
3.7000e+00,1.0419e-01,5.1965e-02,2.8517e+04,2.8517e+04,-3.6749e-16,1.5532e+00
3.8000e+00,1.0987e-01,5.4795e-02,3.0045e+04,3.0046e+04,-3.6749e-16,1.5532e+00
3.9000e+00,1.1559e-01,5.7652e-02,3.1588e+04,3.1588e+04,-3.6749e-16,1.5532e+00
4.0000e+00,1.2137e-01,6.0533e-02,3.3144e+04,3.3144e+04,-3.6749e-16,1.5532e+00
