Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
0.0000e+00,-4.7814e+21,-4.7814e+21
1.0078e-03,-5.0173e+21,-5.0198e+21
2.0157e-03,-5.4198e+21,-5.4247e+21
3.0235e-03,-5.9877e+21,-5.9951e+21
4.0314e-03,-6.7195e+21,-6.7294e+21
5.0392e-03,-7.6131e+21,-7.6255e+21
6.0471e-03,-8.6661e+21,-8.6810e+21
7.0549e-03,-9.8755e+21,-9.8929e+21
8.0627e-03,-1.1238e+22,-1.1258e+22
9.0706e-03,-1.2749e+22,-1.2772e+22
1.0078e-02,-1.4406e+22,-1.4431e+22
1.1086e-02,-1.6203e+22,-1.6230e+22
1.2094e-02,-1.8136e+22,-1.8165e+22
1.3102e-02,-2.0198e+22,-2.0230e+22
1.4110e-02,-2.2385e+22,-2.2419e+22
1.5118e-02,-2.4690e+22,-2.4727e+22
1.6125e-02,-2.7106e+22,-2.7146e+22
1.7133e-02,-2.9628e+22,-2.9670e+22
1.8141e-02,-3.2247e+22,-3.2292e+22
1.9149e-02,-3.4958e+22,-3.5004e+22
2.0157e-02,-3.7751e+22,-3.7800e+22
2.1165e-02,-4.0620e+22,-4.0671e+22
2.2173e-02,-4.3556e+22,-4.3610e+22
2.3180e-02,-4.6551e+22,-4.6607e+22
2.4188e-02,-4.9597e+22,-4.9656e+22
2.5196e-02,-5.2686e+22,-5.2746e+22
2.6204e-02,-5.5808e+22,-5.5871e+22
2.7212e-02,-5.8955e+22,-5.9021e+22
2.8220e-02,-6.2118e+22,-6.2186e+22
2.9227e-02,-6.5289e+22,-6.5360e+22
3.0235e-02,-6.8459e+22,-6.8531e+22
3.1243e-02,-7.1618e+22,-7.1693e+22
3.2251e-02,-7.4759e+22,-7.4836e+22
3.3259e-02,-7.7872e+22,-7.7951e+22
3.4267e-02,-8.0948e+22,-8.1029e+22
3.5275e-02,-8.3979e+22,-8.4063e+22
3.6282e-02,-8.6957e+22,-8.7043e+22
3.7290e-02,-8.9873e+22,-8.9961e+22
3.8298e-02,-9.2719e+22,-9.2809e+22
3.9306e-02,-9.5488e+22,-9.5580e+22
4.0314e-02,-9.8171e+22,-9.8265e+22
4.1322e-02,-1.0076e+23,-1.0086e+23
4.2329e-02,-1.0325e+23,-1.0335e+23
4.3337e-02,-1.0563e+23,-1.0573e+23
4.4345e-02,-1.0789e+23,-1.0799e+23
4.5353e-02,-1.1001e+23,-1.1012e+23
4.6361e-02,-1.1196e+23,-1.1207e+23
4.7369e-02,-1.1361e+23,-1.1372e+23
4.8376e-02,-1.1461e+23,-1.1472e+23
4.9384e-02,-1.1391e+23,-1.1402e+23
5.0392e-02,-1.0828e+23,-1.0839e+23
5.1400e-02,-8.8476e+22,-8.8591e+22
5.2392e-02,-1.1278e+23,-1.1299e+23
5.3385e-02,-1.2332e+23,-1.2350e+23
5.4377e-02,-1.2869e+23,-1.2885e+23
5.5369e-02,-1.3215e+23,-1.3231e+23
5.6362e-02,-1.3485e+23,-1.3502e+23
5.7354e-02,-1.3658e+23,-1.3735e+23
5.8346e-02,-1.3905e+23,-1.3944e+23
5.9338e-02,-1.4057e+23,-1.4138e+23
6.0331e-02,-1.4291e+23,-1.4327e+23
6.1323e-02,-1.4535e+23,-1.4552e+23
6.2315e-02,-1.4937e+23,-1.4946e+23
6.3308e-02,-1.5952e+23,-1.5958e+23
6.4300e-02,-1.9051e+23,-1.9055e+23
6.5308e-02,-2.8389e+23,-2.8395e+23
6.6316e-02,-2.6496e+23,-2.6505e+23
6.7324e-02,-2.5772e+23,-2.5785e+23
6.8331e-02,-2.5367e+23,-2.5383e+23
6.9339e-02,-2.5037e+23,-2.5057e+23
7.0347e-02,-2.4713e+23,-2.4736e+23
7.1355e-02,-2.4377e+23,-2.4402e+23
7.2363e-02,-2.4022e+23,-2.4050e+23
7.3371e-02,-2.3649e+23,-2.3679e+23
7.4378e-02,-2.3257e+23,-2.3289e+23
7.5386e-02,-2.2846e+23,-2.2881e+23
7.6394e-02,-2.2419e+23,-2.2455e+23
7.7402e-02,-2.1975e+23,-2.2013e+23
7.8410e-02,-2.1516e+23,-2.1555e+23
7.9418e-02,-2.1042e+23,-2.1083e+23
8.0425e-02,-2.0555e+23,-2.0596e+23
8.1433e-02,-2.0054e+23,-2.0097e+23
8.2441e-02,-1.9542e+23,-1.9585e+23
8.3449e-02,-1.9020e+23,-1.9063e+23
8.4457e-02,-1.8488e+23,-1.8531e+23
8.5465e-02,-1.7947e+23,-1.7991e+23
8.6473e-02,-1.7398e+23,-1.7443e+23
8.7480e-02,-1.6844e+23,-1.6888e+23
8.8488e-02,-1.6284e+23,-1.6327e+23
8.9496e-02,-1.5719e+23,-1.5763e+23
9.0504e-02,-1.5152e+23,-1.5195e+23
9.1512e-02,-1.4583e+23,-1.4625e+23
9.2520e-02,-1.4013e+23,-1.4054e+23
9.3527e-02,-1.3443e+23,-1.3484e+23
9.4535e-02,-1.2875e+23,-1.2914e+23
9.5543e-02,-1.2309e+23,-1.2348e+23
9.6551e-02,-1.1747e+23,-1.1785e+23
9.7559e-02,-1.1190e+23,-1.1226e+23
9.8567e-02,-1.0639e+23,-1.0674e+23
9.9575e-02,-1.0095e+23,-1.0128e+23
1.0058e-01,-9.5590e+22,-9.5906e+22
1.0159e-01,-9.0323e+22,-9.0623e+22
1.0260e-01,-8.5158e+22,-8.5441e+22
1.0361e-01,-8.0107e+22,-8.0372e+22
1.0461e-01,-7.5178e+22,-7.5425e+22
1.0562e-01,-7.0383e+22,-7.0611e+22
1.0663e-01,-6.5730e+22,-6.5938e+22
1.0764e-01,-6.1230e+22,-6.1417e+22
1.0865e-01,-5.6891e+22,-5.7058e+22
1.0965e-01,-5.2727e+22,-5.2873e+22
1.1066e-01,-4.8754e+22,-4.8878e+22
1.1167e-01,-4.5011e+22,-4.5113e+22
1.1268e-01,-4.1603e+22,-4.1683e+22
1.1368e-01,-3.8846e+22,-3.8904e+22
1.1469e-01,-3.7721e+22,-3.7757e+22
1.1570e-01,-4.1153e+22,-4.1173e+22
1.1669e-01,-1.7439e+22,-1.7468e+22
1.1768e-01,-1.4812e+22,-1.4859e+22
1.1868e-01,-1.3051e+22,-1.3141e+22
1.1967e-01,-1.1583e+22,-1.1773e+22
