Cont Pot (V) at Lt Cont,Opt Pwr (mW) at Lt Mir,Opt Pwr (mW) at Rt Mir,Cont J Total (A/cm2) at Lt Cont,Cont J Total (A/cm2) at Rt Cont,Cont Built Pot (V) at Lt Cont,Cont Built Pot (V) at Rt Cont
1.0000e+00,1.5953e-11,9.5621e-12,6.3881e-03,6.3881e-03,-3.6749e-16,1.5532e+00
1.0500e+00,1.1025e-10,6.6083e-11,1.9958e-02,1.9958e-02,-3.6749e-16,1.5532e+00
1.1000e+00,7.6166e-10,4.5654e-10,6.4691e-02,6.4690e-02,-3.6749e-16,1.5532e+00
1.1500e+00,5.2585e-09,3.1519e-09,2.1782e-01,2.1782e-01,-3.6749e-16,1.5532e+00
1.2000e+00,3.6253e-08,2.1730e-08,7.4500e-01,7.4500e-01,-3.6749e-16,1.5532e+00
1.2500e+00,2.4897e-07,1.4923e-07,2.4691e+00,2.4691e+00,-3.6749e-16,1.5532e+00
1.3000e+00,1.6877e-06,1.0116e-06,7.9709e+00,7.9709e+00,-3.6749e-16,1.5532e+00
1.3500e+00,1.0908e-05,6.5384e-06,2.6197e+01,2.6197e+01,-3.6749e-16,1.5532e+00
1.4000e+00,6.1080e-05,3.6611e-05,8.1311e+01,8.1311e+01,-3.6749e-16,1.5532e+00
1.4500e+00,2.5861e-04,1.5501e-04,2.0779e+02,2.0779e+02,-3.6749e-16,1.5532e+00
1.5000e+00,7.9301e-04,4.7533e-04,4.2256e+02,4.2256e+02,-3.6749e-16,1.5532e+00
1.5500e+00,1.8730e-03,1.1227e-03,7.2049e+02,7.2049e+02,-3.6749e-16,1.5532e+00
1.6000e+00,3.6739e-03,2.2021e-03,1.0882e+03,1.0882e+03,-3.6749e-16,1.5532e+00
1.6500e+00,6.3200e-03,3.7882e-03,1.5106e+03,1.5106e+03,-3.6749e-16,1.5532e+00
1.7000e+00,9.8862e-03,5.9258e-03,1.9725e+03,1.9725e+03,-3.6749e-16,1.5532e+00
1.7500e+00,1.4405e-02,8.6345e-03,2.4606e+03,2.4606e+03,-3.6749e-16,1.5532e+00
1.8000e+00,1.9878e-02,1.1915e-02,2.9636e+03,2.9636e+03,-3.6749e-16,1.5532e+00
1.8500e+00,2.6282e-02,1.5753e-02,3.4723e+03,3.4723e+03,-3.6749e-16,1.5532e+00
1.9000e+00,3.3590e-02,2.0134e-02,3.9803e+03,3.9803e+03,-3.6749e-16,1.5532e+00
1.9500e+00,4.1787e-02,2.5047e-02,4.4839e+03,4.4839e+03,-3.6749e-16,1.5532e+00
2.0000e+00,5.0893e-02,3.0505e-02,4.9825e+03,4.9825e+03,-3.6749e-16,1.5532e+00
2.0500e+00,6.0971e-02,3.6546e-02,5.4772e+03,5.4772e+03,-3.6749e-16,1.5532e+00
2.1000e+00,7.2119e-02,4.3228e-02,5.9700e+03,5.9700e+03,-3.6749e-16,1.5532e+00
2.1500e+00,8.4459e-02,5.0625e-02,6.4629e+03,6.4629e+03,-3.6749e-16,1.5532e+00
2.2000e+00,9.8120e-02,5.8813e-02,6.9570e+03,6.9569e+03,-3.6749e-16,1.5532e+00
2.2500e+00,1.1324e-01,6.7875e-02,7.4529e+03,7.4529e+03,-3.6749e-16,1.5532e+00
2.3000e+00,1.2995e-01,7.7892e-02,7.9508e+03,7.9507e+03,-3.6749e-16,1.5532e+00
2.3500e+00,1.4840e-01,8.8950e-02,8.4502e+03,8.4501e+03,-3.6749e-16,1.5532e+00
2.4000e+00,1.6872e-01,1.0113e-01,8.9506e+03,8.9506e+03,-3.6749e-16,1.5532e+00
2.4500e+00,1.9107e-01,1.1453e-01,9.4516e+03,9.4516e+03,-3.6749e-16,1.5532e+00
2.5000e+00,2.1559e-01,1.2923e-01,9.9523e+03,9.9524e+03,-3.6749e-16,1.5532e+00
2.5500e+00,2.4243e-01,1.4531e-01,1.0452e+04,1.0452e+04,-3.6749e-16,1.5532e+00
2.6000e+00,2.7174e-01,1.6288e-01,1.0950e+04,1.0950e+04,-3.6749e-16,1.5532e+00
2.6500e+00,3.0366e-01,1.8201e-01,1.1446e+04,1.1446e+04,-3.6749e-16,1.5532e+00
2.7000e+00,3.3832e-01,2.0279e-01,1.1939e+04,1.1939e+04,-3.6749e-16,1.5532e+00
2.7500e+00,3.7585e-01,2.2528e-01,1.2428e+04,1.2428e+04,-3.6749e-16,1.5532e+00
2.8000e+00,4.1634e-01,2.4955e-01,1.2912e+04,1.2912e+04,-3.6749e-16,1.5532e+00
2.8500e+00,4.5988e-01,2.7565e-01,1.3393e+04,1.3393e+04,-3.6749e-16,1.5532e+00
2.9000e+00,5.0654e-01,3.0362e-01,1.3868e+04,1.3868e+04,-3.6749e-16,1.5532e+00
2.9500e+00,5.5634e-01,3.3347e-01,1.4337e+04,1.4337e+04,-3.6749e-16,1.5532e+00
3.0000e+00,6.0931e-01,3.6522e-01,1.4801e+04,1.4801e+04,-3.6749e-16,1.5532e+00
3.0500e+00,6.6542e-01,3.9885e-01,1.5259e+04,1.5259e+04,-3.6749e-16,1.5532e+00
3.1000e+00,7.2463e-01,4.3434e-01,1.5712e+04,1.5712e+04,-3.6749e-16,1.5532e+00
3.1500e+00,7.8688e-01,4.7165e-01,1.6159e+04,1.6159e+04,-3.6749e-16,1.5532e+00
3.2000e+00,8.5207e-01,5.1073e-01,1.6600e+04,1.6600e+04,-3.6749e-16,1.5532e+00
