Grid Pos (microns),U Total (1/cm3s),U Stim (1/cm3s)
0.0000e+00,-1.7044e+24,-1.7044e+24
1.0078e-03,-2.2130e+24,-2.2141e+24
2.0157e-03,-2.7969e+24,-2.7991e+24
3.0235e-03,-3.4545e+24,-3.4579e+24
4.0314e-03,-4.1840e+24,-4.1885e+24
5.0392e-03,-4.9833e+24,-4.9889e+24
6.0471e-03,-5.8503e+24,-5.8570e+24
7.0549e-03,-6.7824e+24,-6.7902e+24
8.0627e-03,-7.7772e+24,-7.7861e+24
9.0706e-03,-8.8318e+24,-8.8418e+24
1.0078e-02,-9.9432e+24,-9.9543e+24
1.1086e-02,-1.1108e+25,-1.1121e+25
1.2094e-02,-1.2324e+25,-1.2338e+25
1.3102e-02,-1.3587e+25,-1.3602e+25
1.4110e-02,-1.4894e+25,-1.4909e+25
1.5118e-02,-1.6241e+25,-1.6257e+25
1.6125e-02,-1.7623e+25,-1.7641e+25
1.7133e-02,-1.9039e+25,-1.9057e+25
1.8141e-02,-2.0482e+25,-2.0502e+25
1.9149e-02,-2.1951e+25,-2.1971e+25
2.0157e-02,-2.3439e+25,-2.3461e+25
2.1165e-02,-2.4944e+25,-2.4967e+25
2.2173e-02,-2.6460e+25,-2.6484e+25
2.3180e-02,-2.7985e+25,-2.8010e+25
2.4188e-02,-2.9513e+25,-2.9539e+25
2.5196e-02,-3.1040e+25,-3.1067e+25
2.6204e-02,-3.2562e+25,-3.2590e+25
2.7212e-02,-3.4076e+25,-3.4104e+25
2.8220e-02,-3.5575e+25,-3.5605e+25
2.9227e-02,-3.7057e+25,-3.7088e+25
3.0235e-02,-3.8518e+25,-3.8549e+25
3.1243e-02,-3.9952e+25,-3.9985e+25
3.2251e-02,-4.1357e+25,-4.1390e+25
3.3259e-02,-4.2728e+25,-4.2762e+25
3.4267e-02,-4.4061e+25,-4.4097e+25
3.5275e-02,-4.5354e+25,-4.5390e+25
3.6282e-02,-4.6601e+25,-4.6638e+25
3.7290e-02,-4.7800e+25,-4.7838e+25
3.8298e-02,-4.8947e+25,-4.8986e+25
3.9306e-02,-5.0040e+25,-5.0080e+25
4.0314e-02,-5.1075e+25,-5.1115e+25
4.1322e-02,-5.2048e+25,-5.2090e+25
4.2329e-02,-5.2958e+25,-5.3001e+25
4.3337e-02,-5.3801e+25,-5.3844e+25
4.4345e-02,-5.4573e+25,-5.4617e+25
4.5353e-02,-5.5266e+25,-5.5310e+25
4.6361e-02,-5.5859e+25,-5.5904e+25
4.7369e-02,-5.6296e+25,-5.6342e+25
4.8376e-02,-5.6403e+25,-5.6450e+25
4.9384e-02,-5.5657e+25,-5.5704e+25
5.0392e-02,-5.2477e+25,-5.2525e+25
